@relation TestSet

@attribute meanXAcc real
@attribute meanYAcc real
@attribute meanZAcc real
@attribute stdX real
@attribute stdY real
@attribute stdZ real
@attribute avgAcc real
@attribute binX1 real
@attribute binX2 real
@attribute binX3 real
@attribute binX4 real
@attribute binX5 real
@attribute binX6 real
@attribute binX7 real
@attribute binX8 real
@attribute binX9 real
@attribute binX10 real
@attribute binY1 real
@attribute binY2 real
@attribute binY3 real
@attribute binY4 real
@attribute binY5 real
@attribute binY6 real
@attribute binY7 real
@attribute binY8 real
@attribute binY9 real
@attribute binY10 real
@attribute binZ1 real
@attribute binZ2 real
@attribute binZ3 real
@attribute binZ4 real
@attribute binZ5 real
@attribute binZ6 real
@attribute binZ7 real
@attribute binZ8 real
@attribute binZ9 real
@attribute binZ10 real
@attribute peakDistX real
@attribute peakDistY real
@attribute peakDistZ real
@attribute activity {1,2,3,4}


@data
0.079753,0.043632,0.034495,0.040989,0.027572,0.024879,0.10364,0.003,0.022,0.144,0.151,0.108,0.096,0.122,0.176,0.146,0.032,0.015,0.113,0.176,0.206,0.179,0.19,0.106,0.013,0.001,0.001,0.002,0.021,0.084,0.177,0.242,0.224,0.165,0.069,0.014,0.002,142.35,141.79,150.7,4
2.9963,5.2278,2.9005,3.0432,4.1025,2.6784,7.5184,0.008,0.006,0.016,0.084,0.346,0.358,0.134,0.024,0.018,0.006,0.01,0.036,0.126,0.2,0.266,0.24,0.072,0.034,0.008,0.008,0.006,0.004,0.022,0.156,0.396,0.26,0.104,0.038,0.008,0.006,596.27,434.91,430.67,3
1.863,3.393,2.5685,1.5008,2.9947,2.5545,5.2347,0.004,0.027,0.116,0.253,0.31,0.186,0.08,0.017,0.004,0.003,0.009,0.046,0.128,0.117,0.291,0.246,0.081,0.022,0.031,0.029,0.007,0.022,0.048,0.153,0.362,0.261,0.078,0.045,0.018,0.006,374.65,469.2,425.45,1
2.3433,3.6075,3.0568,2.143,3.0642,3.2024,6.0043,0.007,0.015,0.029,0.043,0.125,0.321,0.26,0.136,0.039,0.025,0.011,0.086,0.138,0.149,0.274,0.224,0.043,0.021,0.032,0.022,0.018,0.013,0.025,0.09,0.294,0.381,0.107,0.047,0.018,0.007,384.38,489.84,301,1
5.0334,6.7724,4.693,3.863,3.3395,4.5633,11.048,0.009,0.027,0.045,0.068,0.087,0.19,0.212,0.149,0.133,0.08,0.079,0.081,0.137,0.101,0.082,0.067,0.111,0.244,0.083,0.015,0.015,0.035,0.023,0.044,0.133,0.332,0.29,0.08,0.038,0.01,481.26,377.33,518.79,2
2.5955,3.955,3.5004,2.06,2.8509,3.3581,6.7928,0.008,0.052,0.226,0.324,0.218,0.114,0.04,0.014,0.002,0.002,0.036,0.08,0.108,0.14,0.152,0.196,0.16,0.052,0.048,0.028,0.016,0.064,0.132,0.264,0.326,0.104,0.044,0.02,0.024,0.006,371.12,441.36,683.43,1
2.6471,3.2314,3.3344,2.5556,2.7945,3.5354,6.104,0.018,0.068,0.348,0.346,0.146,0.046,0.014,0.008,0.002,0.004,0.022,0.128,0.278,0.262,0.156,0.084,0.026,0.024,0.008,0.012,0.008,0.032,0.082,0.248,0.474,0.114,0.018,0.008,0.01,0.006,340.93,409.87,324.97,3
2.3453,3.3861,2.8948,2.199,2.8754,3.0067,5.763,0.005,0.008,0.023,0.026,0.064,0.222,0.326,0.222,0.074,0.03,0.035,0.159,0.103,0.204,0.268,0.143,0.019,0.021,0.026,0.022,0.016,0.013,0.023,0.071,0.211,0.42,0.139,0.066,0.029,0.012,389.62,462.85,349.66,1
2.1004,3.5262,3.0414,1.658,2.8585,3.2489,5.8368,0.003,0.006,0.032,0.066,0.195,0.276,0.229,0.126,0.059,0.008,0.04,0.144,0.109,0.198,0.246,0.152,0.039,0.024,0.026,0.022,0.022,0.021,0.026,0.071,0.284,0.393,0.109,0.057,0.012,0.005,312.77,371.48,277.09,1
3.5278,6.288,5.9162,4.0613,5.9483,6.8101,10.642,0.004,0.02,0.07,0.456,0.388,0.04,0.01,0.006,0.002,0.004,0.106,0.184,0.308,0.192,0.096,0.044,0.022,0.016,0.008,0.024,0.016,0.026,0.07,0.338,0.388,0.098,0.014,0.02,0.008,0.022,375.73,447,279.62,3
2.5211,3.8849,3.8802,2.4093,3.6699,4.1681,6.8313,0.012,0.294,0.488,0.156,0.044,0.002,0.002,0,0,0.002,0.024,0.242,0.366,0.226,0.072,0.046,0.012,0.006,0.002,0.004,0.002,0.004,0.006,0.05,0.38,0.472,0.072,0.006,0.002,0.006,350.36,392.4,324.97,3
3.9543,7.1615,5.1149,3.1139,3.852,4.5072,10.683,0.027,0.073,0.124,0.197,0.228,0.192,0.078,0.042,0.025,0.014,0.024,0.1,0.18,0.115,0.088,0.13,0.119,0.137,0.093,0.014,0.026,0.04,0.056,0.051,0.142,0.254,0.288,0.105,0.015,0.023,358.96,263.32,324.42,2
4.8986,6.6851,4.5223,3.6352,3.5027,4.4417,10.778,0.02,0.05,0.056,0.058,0.168,0.197,0.143,0.114,0.116,0.078,0.075,0.073,0.126,0.096,0.091,0.068,0.095,0.155,0.151,0.07,0.022,0.031,0.019,0.038,0.145,0.307,0.282,0.099,0.038,0.019,441.68,410.17,502.6,2
2.1222,3.4732,2.7345,1.726,2.9277,2.7793,5.5371,0.005,0.018,0.149,0.272,0.311,0.165,0.059,0.011,0.006,0.004,0.016,0.061,0.128,0.186,0.263,0.199,0.073,0.02,0.029,0.025,0.003,0.018,0.051,0.119,0.374,0.306,0.057,0.055,0.013,0.004,370.68,455.65,396.65,1
1.3114,2.1416,2.0972,1.23,1.9962,1.7239,3.7084,0.004,0.002,0.04,0.164,0.404,0.25,0.09,0.03,0.012,0.004,0.008,0.066,0.318,0.422,0.158,0.018,0.006,0,0.002,0.002,0.008,0.016,0.128,0.32,0.32,0.18,0.022,0.004,0,0.002,442.15,664.69,323.23,3
0.24158,0.27348,0.49597,0.20633,0.23655,0.44632,0.65392,0.009,0.022,0.112,0.227,0.314,0.202,0.073,0.026,0.007,0.008,0.004,0.007,0.033,0.071,0.231,0.347,0.205,0.076,0.022,0.004,0.007,0.024,0.075,0.276,0.347,0.179,0.062,0.017,0.008,0.005,329.18,317.86,418.95,4
0.21327,0.19263,0.42421,0.22278,0.22064,0.46888,0.55597,0.003,0.001,0.002,0.012,0.054,0.263,0.501,0.131,0.02,0.013,0.007,0.006,0.043,0.405,0.442,0.075,0.011,0.003,0.006,0.002,0.007,0.007,0.015,0.036,0.18,0.509,0.198,0.03,0.013,0.005,529.95,422.13,526.16,4
0.073195,0.043145,0.042211,0.041565,0.035595,0.039087,0.10438,0.007,0.05,0.147,0.167,0.14,0.131,0.161,0.162,0.029,0.006,0.003,0.009,0.021,0.148,0.351,0.356,0.093,0.012,0.004,0.003,0.001,0.006,0.002,0.007,0.028,0.206,0.426,0.262,0.053,0.009,140.04,178.42,169.67,4
2.024,3.2965,2.6353,1.5939,2.9872,2.6972,5.2915,0.004,0.031,0.116,0.205,0.273,0.214,0.105,0.029,0.016,0.007,0.011,0.089,0.09,0.149,0.31,0.205,0.069,0.027,0.02,0.03,0.006,0.025,0.033,0.118,0.239,0.399,0.084,0.039,0.043,0.014,438.38,505.85,422.95,1
4.3731,6.7593,4.427,3.3314,3.3742,4.4116,10.5,0.003,0.021,0.073,0.075,0.25,0.233,0.157,0.136,0.046,0.006,0.055,0.077,0.101,0.129,0.089,0.065,0.081,0.129,0.186,0.088,0.028,0.022,0.022,0.031,0.136,0.294,0.313,0.097,0.037,0.02,501.67,515.32,514.26,2
0.25948,0.21551,0.36425,0.21984,0.19083,0.32424,0.54176,0.01,0.026,0.128,0.356,0.346,0.108,0.02,0.004,0.001,0.001,0.001,0.002,0.007,0.036,0.157,0.359,0.326,0.085,0.019,0.008,0.004,0.017,0.081,0.256,0.407,0.189,0.032,0.008,0.003,0.003,273.8,267.64,350.57,4
0.19354,0.19485,0.30597,0.20071,0.21201,0.34406,0.44782,0.001,0,0.001,0.002,0.005,0.007,0.136,0.592,0.231,0.025,0.002,0.005,0.045,0.503,0.402,0.035,0.004,0.001,0.002,0.001,0.002,0,0.001,0.002,0.013,0.098,0.637,0.222,0.022,0.003,228.23,310.53,331.93,4
